names,lat,lon,seed,plot,harv,unharv,pd1,pd2,pd3,pd4,pd5,fert
86a269dd,-16.75,26.96,25,1.25,700,0,2015-12-01,,,,,350
f10704aa,-16.77,26.97,5,0.25,1200,0,2015-11-02,,,,,
ca747b61,-15.93,26.51,40,2,0,0,2015-11-24,,,,,
1e8cad7a,-17.15,27.14,35,2.5,2250,0,2015-11-24,2016-01-18,,,,
9b036eaf,-15.92,26.53,30,2.5,1500,0,2015-10-26,2015-12-01,,,,
99bb1c4e,-16.93,27.08,40,2,2750,0,2015-11-15,2015-11-24,2015-11-24,2015-12-01,2015-12-13,320
ea87c564,-16.23,26.67,70,3.5,10640,0,2015-11-15,2015-11-15,2015-11-15,2015-11-24,,
5395400d,-17.19,27.11,20,1,2500,0,2015-11-02,,,,,
b69ece5d,-15.75,26.76,12,0.6,350,0,2015-11-02,2015-11-08,,,,
942479ca,-16.87,26.79,40,2,3750,0,2015-11-24,2015-11-24,2015-12-01,,,2100
b9a16246,-16.51,26.94,30,1.5,2500,0,2015-12-01,2015-12-01,,,,1400
4c8324a9,-16.93,27.03,20,1,1000,0,2015-12-01,,,,,
6bb5947f,-16.51,26.94,25,1.25,1900,0,2015-12-13,2016-01-11,,,,2100
2391f1b9,-16.92,27.12,70,3.5,2530,0,2015-12-01,2015-12-24,2015-12-01,2015-12-01,2015-12-01,1400
8b05398f,-16.42,26.8,10,0.5,350,0,2015-11-15,,,,,
d708f675,-16.93,27.1,139,6.5,2200,0,2015-12-13,2015-12-24,2015-11-15,2015-12-13,,2100
374633c,-16.94,27.07,20,1,600,0,2015-12-13,,,,,2100
cf811050,-16.94,27.3,30,1.5,4500,0,2016-01-04,2016-01-04,,,,2100
4d730fc4,-16.62,26.82,60,3,3600,0,2016-01-04,2015-11-24,,,,1400
9cd9da27,-15.93,26.51,10,1,350,0,2015-12-01,,,,,
eb3dd1ad,-15.73,26.74,60,3,1250,0,2015-11-24,2015-12-13,,,,
c27bf119,-15.92,26.53,100,5,3640,0,2015-11-15,2016-01-04,,,,
3345e3a9,-16.79,27.3,40,2,2000,0,2015-12-06,,,,,2100
c8def371,-16.75,27.3,10,0.5,1500,0,2015-12-01,,,,,700
56a59f20,-16.5,26.94,25,10.75,1500,0,2015-11-08,2015-12-01,2015-12-24,,,800
92ad49aa,-16.75,27.24,90,3,1200,0,2015-12-24,,,,,
59999ce3,-16.74,27.29,40,2,800,0,2015-12-06,,,,,3012
412c0887,-16.62,26.87,30,3,400,0,2015-11-24,,,,,2100
336ef434,-16.73,26.94,40,2,2300,0,2015-11-24,2015-12-06,2016-01-04,,,1440
50f2c761,-16.73,26.95,70,3.5,7150,0,2015-11-15,2015-11-24,2015-11-24,2015-12-01,2015-12-24,2100
384ddd61,-16.93,27.05,125,6,8000,0,2015-11-24,2015-12-13,2015-11-24,2015-11-15,,1400
4eabc12e,-16.47,26.94,40,3.5,1000,0,2015-11-02,2016-01-11,,,,1500
a169ab47,-16.78,27.34,25,2,5000,0,2015-11-24,,,,,2100
d7ad405c,-16.92,26.96,50,2.5,2100,0,2015-11-02,2015-12-01,,,,
747c28b8,-16.74,26.94,10,0.5,2000,0,2015-11-15,,,,,450
e1837237,-16.98,27.09,70,3.5,4200,0,2016-01-04,2015-12-13,2015-12-24,,,1600
a2ff43d6,-16.57,26.88,5,0.25,500,0,2016-01-11,,,,,
7125365a,-16.93,27.3,40,2,1950,0,2015-12-01,2016-01-04,2015-12-06,2015-12-24,,
6b7b9300,-16.72,26.86,40,2,1500,0,2015-11-08,2015-11-02,2015-12-01,,,4200
284292da,-16.82,26.83,55,2.9,5250,1,2015-12-06,2015-12-06,2015-12-06,2015-12-06,2015-12-06,1600
82ce7c6e,-16.74,26.96,30,1.5,1350,0,2015-11-02,2015-12-01,,,,1440
6f4b0d0b,-17.19,27.11,40,2,11000,0,2015-12-06,2015-12-01,,,,2100
95c5506d,-17.16,27.12,20,2,750,0,2015-12-06,,,,,
39e3a00d,-16.86,26.79,35,1.75,2750,0,2015-11-15,2015-11-08,2015-11-08,,,
7d894233,-16.76,27.31,25,1.5,1750,0,2015-12-13,,,,,
f77eccb9,-16.87,27.27,10,0.5,250,0,2015-12-01,,,,,
2cb80cce,-16.91,27.26,20,1,2000,0,2015-11-15,2015-11-15,,,,2100
1997b1e1,-16.68,26.87,7,1.5,1000,0,2015-12-06,,,,,1400
a67dabaa,-16.83,26.79,30,1.5,4500,0,2015-11-24,2015-12-01,,,,4800
58c48537,-16.26,26.69,40,2,3500,0,2015-12-06,,,,,
11ba5ae1,-16.68,26.86,10,0.5,400,0,2015-12-24,,,,,
42d6db77,-16.83,27.34,60,3,8000,0,2015-11-24,2015-12-01,2015-12-06,,,400
5c5216da,-15.73,26.73,20,1,1400,0,2016-01-18,2016-01-11,,,,
3ed5dd18,-16.68,26.87,60,3,1400,0,2015-12-24,,,,,2100
961abcc6,-16.75,26.95,10,0.5,1500,0,2015-12-13,,,,,1850
545d64f6,-16.25,26.7,30,1.5,600,0,2015-11-08,2015-11-24,2015-12-01,,,
edd659c6,-16.76,26.96,100,5,8700,0,2015-12-01,2015-12-01,2015-11-15,,,3500
df1c2589,-16.83,26.8,55,2.75,4050,0,2015-11-02,2015-11-08,2015-11-08,2015-12-24,,5600
b9851285,-17.19,27.11,30,1.5,2100,0,2015-12-01,,,,,
4ba99667,-16.66,26.85,60,3,13000,0,2015-11-24,,,,,2100
3ac147f8,-16.93,27.11,20,2,3500,0,2015-11-24,2015-12-01,,,,1600
1b005f2,-16.84,26.81,50,2.5,6500,0,2015-11-15,,,,,2000
61dea999,-15.93,26.51,10,0.5,500,0,2015-12-06,2015-12-13,,,,
801c5a12,-16.5,26.94,30,2,1200,1,2015-12-06,2015-12-13,2016-01-04,,,2100
ff20f5ce,-16.39,26.77,60,2.75,3900,0,2015-12-24,2015-12-06,2015-12-24,2015-11-24,,250
6e2ed199,-16.85,26.9,50,2.5,550,0,2015-11-24,2015-12-01,,,,
be5dad44,-16.79,27.13,150,7.5,3250,0,2015-11-02,2016-01-04,2015-12-24,,,
32e4e10b,-17,27.05,231,11.3,32000,0,2015-11-15,2015-12-01,2015-12-01,2015-12-06,2015-12-06,2100
a19e88db,-16.06,26.93,50,2.5,2500,0,2015-12-06,2015-12-13,2015-12-13,2015-12-24,,
2ddee0f0,-16.05,26.99,40,2.25,1000,0,2015-11-15,2015-12-01,,,,
14e32be1,-16.99,27.06,0,0,0,0,,,,,,670
86158cd,-16.84,27,60,3,3350,0,2015-12-13,2015-11-08,2016-01-04,2015-12-06,,1400
6d367a8e,-16.46,26.93,85,4.5,18000,0,2016-01-11,2015-12-24,2016-01-04,2016-01-18,2016-01-18,1400
7c1dc645,-16.89,27.09,20,1,800,0,2015-12-13,2016-01-04,,,,
3fcee436,-16.74,26.96,30,1.5,590,0,2015-12-01,2015-12-06,2015-12-24,,,
d7d42667,-16.79,27.11,20,2,1800,0,2015-11-24,2015-11-24,,,,1900
89f283a8,-16.94,27.07,35,1.75,1075,0,2015-11-24,2015-11-24,2015-12-06,,,2100
56df2fa7,-16.66,26.86,220,11,8000,0,2015-12-06,,,,,
a535bd26,-16.05,26.99,110,5.25,5150,0,2015-11-08,2015-12-13,2016-01-04,,,
616294dd,-16.93,27.31,15,0.75,600,0,2015-12-01,2015-12-06,2015-12-24,,,2100
154d5fac,-16.92,27.12,90,4.5,3400,0,2015-11-15,2015-12-01,2015-12-06,,,
d042b24e,-16.96,27.1,40,3.5,1150,0,2015-11-24,2015-12-01,,,,
7e9ebc8,-16.97,27.33,15,0.75,1000,0,2015-12-01,2015-12-13,,,,
4a23aa8,-16.95,27.1,43,5,9000,0,2015-11-24,2015-12-01,,,,1400
4ba8d191,-16.94,26.98,70,3.5,7500,0,2015-12-01,2016-01-04,2016-01-11,,,400
de0771d8,-16.76,26.97,50,2.5,2600,0,2015-11-08,2015-12-13,2015-12-24,,,1950
3af88807,-16.72,27.23,60,3,6225,0,2015-12-01,2015-12-13,2015-12-13,,,2580
5b1efbbf,-16.68,26.86,30,1.5,3000,0,2015-12-24,2015-11-08,2015-11-02,,,1400
