podid,lat,lon,date,rain
B00001,-15.75246,26.76351,2017-01-31,0.508
B00001,-15.75246,26.76351,2017-02-01,24.384
B00001,-15.75246,26.76351,2017-02-02,5.842
B00001,-15.75246,26.76351,2017-02-03,3.302
B00001,-15.75246,26.76351,2017-02-04,46.482
B00001,-15.75246,26.76351,2017-02-05,13.462
B00001,-15.75246,26.76351,2017-02-06,8.128
B00001,-15.75246,26.76351,2017-02-07,6.604
B00001,-15.75246,26.76351,2017-02-08,0
B00001,-15.75246,26.76351,2017-02-09,0
B00001,-15.75246,26.76351,2017-02-10,4.572
B00001,-15.75246,26.76351,2017-02-11,0
B00001,-15.75246,26.76351,2017-02-12,0
B00001,-15.75246,26.76351,2017-02-13,0
B00001,-15.75246,26.76351,2017-02-14,0.508
B00001,-15.75246,26.76351,2017-02-15,18.034
B00001,-15.75246,26.76351,2017-02-16,3.302
B00001,-15.75246,26.76351,2017-02-17,8.636
B00001,-15.75246,26.76351,2017-02-18,0
B00001,-15.75246,26.76351,2017-02-19,81.28
B00001,-15.75246,26.76351,2017-02-20,23.622
B00001,-15.75246,26.76351,2017-02-21,1.778
B00001,-15.75246,26.76351,2017-02-22,0.762
B00001,-15.75246,26.76351,2017-02-23,0
B00001,-15.75246,26.76351,2017-02-24,0
B00001,-15.75246,26.76351,2017-02-25,17.526
B00001,-15.75246,26.76351,2017-02-26,17.526
B00001,-15.75246,26.76351,2017-02-27,4.826
B00001,-15.75246,26.76351,2017-02-28,24.892
B00001,-15.75246,26.76351,2017-03-01,0
B00001,-15.75246,26.76351,2017-03-02,0.254
B00001,-15.75246,26.76351,2017-03-03,18.034
B00001,-15.75246,26.76351,2017-03-04,0
B00001,-15.75246,26.76351,2017-03-05,5.334
B00001,-15.75246,26.76351,2017-03-06,1.27
B00001,-15.75246,26.76351,2017-03-07,17.78
B00001,-15.75246,26.76351,2017-03-08,2.032
B00001,-15.75246,26.76351,2017-03-09,7.874
B00001,-15.75246,26.76351,2017-03-10,5.588
B00001,-15.75246,26.76351,2017-03-11,9.652
B00001,-15.75246,26.76351,2017-03-12,0.254
B00001,-15.75246,26.76351,2017-03-13,0
B00001,-15.75246,26.76351,2017-03-14,0
B00001,-15.75246,26.76351,2017-03-15,0
B00001,-15.75246,26.76351,2017-03-16,0
B00001,-15.75246,26.76351,2017-03-17,0
B00001,-15.75246,26.76351,2017-03-18,0
B00001,-15.75246,26.76351,2017-03-19,0
B00001,-15.75246,26.76351,2017-03-20,0
B00001,-15.75246,26.76351,2017-03-21,2.794
B00001,-15.75246,26.76351,2017-03-22,0.254
B00001,-15.75246,26.76351,2017-03-23,0
B00001,-15.75246,26.76351,2017-03-24,0
B00001,-15.75246,26.76351,2017-03-25,0
B00001,-15.75246,26.76351,2017-03-26,0
B00001,-15.75246,26.76351,2017-03-27,0
B00001,-15.75246,26.76351,2017-03-28,0
B00001,-15.75246,26.76351,2017-03-29,0
B00001,-15.75246,26.76351,2017-03-30,0
B00001,-15.75246,26.76351,2017-03-31,0
B00001,-15.75246,26.76351,2017-04-01,0
B00001,-15.75246,26.76351,2017-04-02,6.096
B00001,-15.75246,26.76351,2017-04-03,0
B00001,-15.75246,26.76351,2017-04-04,0
B00001,-15.75246,26.76351,2017-04-05,0
