names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
1730238023,17,-14.22,31.22,20,1,1600,2016-12-01,,,,
1730238024,17,-14.21,31.22,40,3,3250,2016-11-02,2016-11-14,,,
1740209001,17,-9.01,31.67,50,2.5,5950,2016-11-02,2016-12-05,2016-12-05,2016-12-05,
1740213001,17,-8.82,31.53,10,0.5,400,2016-11-24,,,,
1740213002,17,-8.81,31.54,20,1,1870,2016-12-23,,,,
1740213003,17,-8.84,31.54,20,0.5,2250,2016-12-12,2016-12-12,,,
1740213004,17,-8.82,31.53,10,0.5,350,2016-12-05,,,,
1740239001,17,-9.36,31.24,7,0.400000013411045,370,2016-11-14,2016-11-14,,,
1740239002,17,-9.36,31.24,5,0.25,200,2016-11-14,,,,
1740239003,17,-9.36,31.25,10,0.5,300,2016-12-23,,,,
1740239004,17,-9.38,31.23,30,1.5,1350,2016-11-24,2016-11-24,,,
1740329001,17,-10.63,32.15,10,0.75,550,2016-12-05,,,,
1740331001,17,-10.32,32.26,5,0.25,250,2016-12-01,,,,
1740331002,17,-10.32,32.25,0,0,0,,,,,
1740335001,17,-10.64,31.95,10,0.5,250,2016-11-02,,,,
1740335002,17,-10.64,31.95,10,0.5,700,2016-11-02,,,,
1740335003,17,-10.65,31.95,10,0.5,750,2017-01-04,,,,
1750110001,17,-13.06,25.35,30,1.39999997615814,0,2016-12-01,2017-01-04,,,
1750110002,17,-13.06,25.38,20,1,50,2016-11-14,,,,
1750110003,17,-13.06,25.38,10,0.5,50,2016-12-01,,,,
1750110004,17,-13.06,25.36,10,0.5,500,,,,,
1750110005,17,-13.06,25.38,10,0.5,100,2016-11-24,,,,
1750111001,17,-13.47,25,5,0.25,450,2016-12-05,,,,
1750111002,17,-13.47,25,10,0.5,300,2016-12-01,,,,
1750111003,17,-13.37,24.86,10,0.600000023841858,0,2016-11-02,,,,
1750111004,17,-13.46,25,10,1,100,2016-12-05,,,,
1750111005,17,-13.37,24.86,10,0.5,150,2016-11-14,,,,
1750111006,17,-13.47,25,50,2,150,2016-11-24,,,,
1750111007,17,-13.47,25,25,1.25,0,2016-12-01,2016-12-05,2016-12-23,,
1750125001,17,-12.56,26.18,15,0.75,0,2016-11-14,2016-12-01,,,
1750125002,17,-12.56,26.17,30,1.5,100,2016-11-07,,,,
1750141001,17,-13.2,24.79,25,1.25,750,2016-11-07,,,,
1750100001,17,-13.36,24.86,50,1.5,300,2016-11-24,,,,
1750100002,17,-13.33,24.84,20,1,200,2016-11-02,,,,
1750100003,17,-13.34,24.85,10,0.375,0,2016-12-01,,,,
1750206001,17,-12.24,26.75,20,1,0,2016-10-26,2016-12-01,,,
1750206002,17,-12.24,26.75,20,1,0,2016-10-26,2016-12-01,,,
1750206003,17,-12.24,26.75,20,1,0,2016-10-26,2016-12-01,,,
1750206004,17,-12.2,26.77,20,1,0,2016-11-24,2016-11-24,,,
1750206005,17,-12.2,26.78,50,2,1250,2016-11-24,2016-12-01,,,
1750206006,17,-12.2,26.78,50,2,1250,2016-11-24,2016-12-01,,,
1750206007,17,-12.23,26.76,30,1.75,0,2016-11-02,,,,
1750214001,17,-12.39,26.26,90,4.5,20000,2016-11-07,2016-11-14,2016-11-14,,
1750214002,17,-12.38,26.25,20,1,2200,2016-11-02,2016-11-14,,,
1750214003,17,-12.11,25.51,5,0.5,250,2016-11-14,,,,
1750214004,17,-12.4,26.24,10,0.5,300,2016-11-24,,,,
1750214005,17,-12.4,26.23,10,0.5,50,2016-12-01,,,,
1750214006,17,-12.4,26.24,10,0.5,450,2016-11-14,,,,
1750214007,17,-12.39,26.21,10,0.25,0,2016-11-02,,,,
1750214008,17,-12.39,26.23,20,0.75,150,2016-10-26,,,,
1750214009,17,-12.38,26.26,5,0.25,350,2016-11-24,,,,
1750214010,17,-12.1,25.49,10,1,0,2016-12-01,,,,
1750214011,17,-12.41,26.24,10,0.5,0,2016-12-01,,,,
1750214012,17,-12.39,26.21,40,1.5,400,2016-12-01,,,,
1750214013,17,-12.41,26.23,30,1.5,100,2016-11-02,2016-11-14,2016-12-05,,
1750214014,17,-12.1,25.49,30,1,800,2016-11-24,,,,
1750214015,17,-12.41,26.23,20,0.800000011920929,400,2016-10-26,2016-11-24,,,
