names,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
60100103,-16.6,26.82,60,2.5,5500,2015-12-01,2015-11-15,2016-01-04,,
60100104,-16.6,26.83,60,3,3600,2016-01-04,2015-11-24,,,
60202001,-16.06,26.93,50,2.5,2500,2015-12-06,2015-12-13,2015-12-13,2015-12-24,
60202002,-16.06,26.97,60,5,2000,2015-11-02,2015-12-01,,,
60202003,-16.05,26.99,40,2.25,1000,2015-11-15,2015-12-01,,,
60202004,-16.06,26.93,30,1.8,3000,2015-12-06,2015-12-13,2015-12-24,,
60202005,-16.03,26.93,100,4,800,2015-12-24,2015-11-02,,,
60202006,-16.05,26.98,60,3,1100,2016-01-04,2016-01-11,,,
60202007,-16.05,26.97,40,4,810,2015-12-24,,,,
60202008,-16.04,26.93,5,0.25,400,2015-11-08,,,,
60202009,-16.06,26.93,20,1,1400,2015-12-24,2016-01-11,,,
60202010,-16.03,26.93,45,1,750,2015-12-01,2016-01-11,,,
60202011,-16.03,26.93,30,1.5,3400,2015-12-01,2015-12-24,,,
60202012,-16.05,26.99,110,5.25,5150,2015-11-08,2015-12-13,2016-01-04,,
60202013,-16.06,26.93,20,1,250,2015-12-01,,,,
60202014,-16.05,26.97,120,5,4800,2015-12-13,,,,
60202015,-16.03,26.93,20,1,700,2015-12-01,,,,
60202016,-16.03,26.93,95,5,2000,2015-11-15,2015-12-06,2015-12-13,2015-12-24,2016-01-04
60202017,-16.05,26.99,70,3,3000,2015-11-15,,,,
60202018,-16.04,26.94,20,1,0,2015-11-15,,,,
60202019,-16.05,26.98,40,3,330,2016-01-04,,,,
60202020,-16.03,26.93,40,2,400,2015-12-01,2016-01-18,,,
60204001,-15.92,26.53,30,2,2500,2015-11-15,2015-12-01,,,
60204002,-15.92,26.52,45,2.25,3825,2015-12-06,2015-12-13,2015-12-13,2016-01-04,
60204003,-15.06,26.74,45,3,500,2015-12-13,2015-12-24,,,
60204004,-15.08,26.74,20,1,800,2015-12-24,2015-12-24,2016-01-04,,
60204005,-15.91,26.52,80,4,6050,2015-12-01,2015-12-06,2015-12-06,2016-01-11,
60204006,-15.92,26.53,20,3,1750,2015-11-08,,,,
60204007,-15.93,26.52,15,1.4,600,2015-12-13,2015-12-24,,,
60204008,-15.56,26.31,70,3.5,2250,2015-11-08,2015-12-01,2015-12-24,,
60204009,-15.93,26.51,40,2,1200,2015-11-08,,,,
60204010,-15.92,26.53,100,5,3640,2015-11-15,2016-01-04,,,
60204011,-15.92,26.53,50,3,3600,2015-12-01,2015-12-24,,,
60204012,-15.93,26.51,10,1,350,2015-12-01,,,,
60204013,-15.56,26.31,100,5,2500,2015-11-08,2015-12-06,2015-12-01,,
60204014,-15.91,26.52,60,3,2750,2015-12-01,2015-12-13,2015-12-13,2015-12-24,
60204015,-15.93,26.51,25,1.25,900,2015-12-01,2016-01-04,,,
60204016,-15.93,26.51,10,0.5,500,2015-12-06,2015-12-13,,,
60204017,-15.91,26.51,50,2.5,2500,2015-11-02,2015-11-24,,,
60204018,-15.93,26.51,20,1,1200,2015-11-24,,,,
60204019,-15.92,26.53,15,1,600,2015-12-06,,,,
60204020,-15.93,26.51,30,1.5,2500,2015-12-01,2015-12-13,,,
60204021,-15.55,26.31,30,2.5,1500,2015-10-26,2015-12-01,,,
60204022,-15.93,26.51,40,2,0,2015-11-24,,,,
60204023,-15.91,26.51,20,1,2000,2015-12-01,,,,
60204024,-15.92,26.53,15,1.5,1200,2015-11-24,,,,
60205001,-15.72,26.72,30,2,1750,2015-12-06,,,,
